finess,zone,A1,A2,A3,A4,A5,A6
690782222,010780195,"         0,4","         0,1","         2,2","         4,3","        15,9","         9,4"
690782834,010780195,"         0,5","         1,3","         1,3","         4,3","        15,9","         9,4"
690793468,010780195,           1,"         0,7","         1,3","         4,3","        15,9","         9,4"
690807367,010780195,"         0,1","         0,8","         1,3","         4,3","        15,9","         9,4"
710006859,010780195,"         1,7","         2,2","         0,8","         4,3","        15,9","         9,4"
710780263,010780195,           1,"         0,2","         0,6",           0,"        15,9","         9,4"
940100068,010780195,"         0,4","         0,2","         0,6",           0,"        15,9","         9,4"
010008407,010780203,"         0,3","         0,2","         0,6",           0,"        15,9","         9,4"
010780054,010780203,          24,          10,"        22,3",           6,"        16,8","        26,8"
010780062,010780203,"         1,4",           1,           2,           6,"        16,8","        26,8"
010780195,010780203,"         6,6","        11,8","        11,7","         5,1","         1,3","        26,8"
010780203,010780203,"        30,3","        31,6","        52,3","        38,9","        17,1","         2,5"
380780049,010780203,"         1,6","         2,3","         3,7","        38,9","        17,1","         2,5"
380780197,010780203,"         2,1","         1,9","         3,1","        38,9","        17,1","         2,5"
420013492,010780203,,"         1,9","         3,1","        38,9","        17,1","         2,5"
690000880,010780203,"         2,1","        11,2",          17,"        38,9","        17,1","         2,5"
690022959,010780203,"         3,1","        11,2",          17,"        38,9","        17,1","         2,5"
690023239,010780203,"         4,8","         4,2",          17,"        38,9","        17,1","         2,5"
690023411,010780203,"         2,5",           4,"         3,5",           9,"        16,8","         2,5"
690780093,010780203,"         0,9","         0,2","         3,5",           9,"        16,8","         2,5"
690780226,010780203,"         4,4","         0,2","         3,5",           9,"        16,8","         2,5"
690780259,010780203,"         1,5","         0,2","         3,5",           9,"        16,8","         2,5"
690780358,010780203,"         1,2","         1,4","         3,5",           9,"        16,8","         2,5"
690780366,010780203,"         3,8","         1,4","         3,5",           9,"        16,8","         2,5"
690780390,010780203,"         1,4","         1,7","         1,4","         2,6","         0,9","         2,5"
690780648,010780203,"         1,5","         0,9","         1,4","         2,6","         0,9","         2,5"
690781810,010780203,"        20,5","        14,8","        10,3","         7,3","        26,8",          22
690782222,010780203,"         0,1","        14,8","        10,3","         7,3","        26,8",          22
690782834,010780203,"         1,9","         3,1","         0,7",           5,"         1,2",          22
690793468,010780203,"         0,8","         1,3","         1,4","         2,3","         1,2",          22
690805361,010780203,"         0,9","         1,3","         1,4","         2,3","         1,2",          22
690807599,010780203,"         0,1","         1,3","         1,4","         2,3","         1,2",          22
010780294,010780294,,,,,,
020000022,020000022,"        11,4","         1,7",,"         3,2","         6,8",
020000048,020000022,"         0,1","         1,7",,"         3,2","         6,8",
020000055,020000022,"         1,6","         1,5",,"         3,2","         6,8",
020000063,020000022,"        45,7","        41,1","        29,4","        40,3","         6,8",
020000253,020000022,"         1,6","         3,6","        29,4","        40,3","         6,8",
020004495,020000022,"         0,8","         3,6","        29,4","        40,3","         6,8",
020010047,020000022,"        15,3","        20,9","        32,6","        22,1","         6,8",
510000029,020000022,           2,"        20,9","        32,6","        22,1","         6,8",
510000185,020000022,"         0,8",           2,"        32,6","        22,1","         6,8",
510000193,020000022,"         0,4",           2,"        32,6","        22,1","         6,8",
510000516,020000022,"         1,3",           2,"        32,6","        22,1","         6,8",
510012040,020000022,"         0,8",           2,"        32,6","        22,1","         6,8",
590000188,020000022,"         1,1","         2,8","        32,6","        22,1","         6,8",
590006896,020000022,           2,"        11,9","        32,6","        22,1","         6,8",
590052056,020000022,           1,"        11,9","        32,6","        22,1","         6,8",
590780193,020000022,"         2,2","         2,3","         1,8","         3,3","         6,8",
590781571,020000022,"         0,7","         2,3","         1,8","         3,3","         6,8",
590781621,020000022,"         2,6","         2,3","         1,8","         3,3","         6,8",
590781662,020000022,"         0,8","         2,3","         1,8","         3,3","         6,8",
590782215,020000022,"         0,6","         2,3","         1,8","         3,3","         6,8",
590782298,020000022,           3,"         2,3","         1,8","         3,3","         6,8",
590813176,020000022,"         3,3","         4,4","         1,8","         2,5","         6,8",
800000044,020000022,"         3,1","         7,2","         1,8","         4,1","         6,8",
800000077,020000022,"         0,7","         7,2","         1,8","         4,1","         6,8",
920120011,020000022,,"         7,2","         1,8","         4,1","         6,8",
020000048,020000048,"        13,3","         0,4",,,"         1,6",
020000063,020000048,"        13,8","        21,4","        21,5",,"         1,6",
020000253,020000048,"         2,2","        11,2","        12,1",,"         1,6",
020000261,020000048,"         2,3","         1,4","        12,1",,"         1,6",
020000287,020000048,"        51,5","        24,4","        19,9",,"         1,6",
020000360,020000048,"         0,8","         1,6","         2,4",,"         1,6",
020010047,020000048,"         3,4","        11,4","         8,7",,"         1,6",
510000029,020000048,"         1,6","         3,4","         5,1",,"         1,6",
510000185,020000048,"         0,7","         3,3","         5,6",,"         1,6",
510000193,020000048,"         2,5","         3,3","         5,6",,"         1,6",
510000516,020000048,"         0,6","         1,3","         4,6",,"         1,6",
510012040,020000048,"         0,8","         1,3","         4,6",,"         1,6",
590000188,020000048,           1,"         1,3","         4,6",,"         1,6",
600100721,020000048,"         0,7","         1,3","         4,6",,"         1,6",
800000044,020000048,"         3,3",           7,"         3,7",,"         1,6",
020000022,020000055,"         3,4",           7,"         3,7",,"         1,6",
020000055,020000055,"         8,5","         0,6",,,"         7,8",
020000063,020000055,"        12,9",          20,"         7,8",,"         7,8",
020004495,020000055,"         7,3","         1,7","         7,8",,"         7,8",
020010047,020000055,"         3,2","        10,2","         7,8",,"         7,8",
590000188,020000055,"         5,4","        10,2","         7,8",,"         7,8",
590006896,020000055,"        16,8",          11,"        10,1",,"         7,8",
590008041,020000055,"         2,8",           5,"        10,1",,"         7,8",
590780193,020000055,"         3,3","         4,4","         8,4",,"         7,8",
590781621,020000055,"         3,9","         4,4","         8,4",,"         7,8",
590781662,020000055,"        15,1","         3,8","         8,8",,"         7,8",
590781803,020000055,"         2,2","         1,4","         8,8",,"         7,8",
590782215,020000055,"         2,7","         3,9","         9,5",,"         7,8",
590782298,020000055,           7,"         3,9","         9,5",,"         7,8",
590813176,020000055,"         5,7","         8,9","         5,3",,"         7,8",
590813507,020000055,"         2,5","         4,2","         5,3",,"         7,8",
800000044,020000055,"         4,2","         4,2","         5,3",,"         7,8",
020000022,020000063,"         2,5","         1,5","         5,3",,"         7,8",
020000048,020000063,"         2,4","         1,5","         5,3",,"         7,8",
020000063,020000063,"        45,9","        37,7","        62,2","        27,1","        42,2","        45,5"
020000253,020000063,"         0,8","         1,2","         0,6","         2,8","         1,4","        45,5"
020000287,020000063,"         5,7","         7,9","         1,7","        14,1","         6,4","         6,6"
020000360,020000063,"         4,2","         7,9","         1,7","        14,1","         6,4","         6,6"
020010047,020000063,"        15,4","        18,9",          25,"        24,7","        20,1","        25,4"
510000029,020000063,"         0,8",           1,"         1,7","        24,7","        20,1","        25,4"
510000185,020000063,"         0,1","         1,2","         4,2","        24,7","        20,1","        25,4"
510000516,020000063,"         1,1","         2,7","         4,2","        24,7","        20,1","        25,4"
590000188,020000063,"         2,2","         3,1","         4,2","        24,7","        20,1","        25,4"
