finess,zone,A1,A2,A3,A4,A5,A6
250000015,010780195,"         0,5","         0,3","         0,2","         3,2","         1,4","        32,5"
390780146,010780195,"         3,9","         2,3","         0,3","         1,6","         3,2","        32,5"
690000880,010780195,"         1,5","         7,2","         8,6","         1,6","         3,2","        32,5"
690011838,010780195,           0,"         7,2","         8,6","         1,6","         3,2","        32,5"
690022959,010780195,"         0,2","         7,2","         8,6","         1,6","         3,2","        32,5"
690023239,010780195,"         3,7","         2,5","         8,6","         1,6","         3,2","        32,5"
690023411,010780195,"         0,7","         1,8","         1,1","         1,7","         0,8","        32,5"
690780259,010780195,           1,"         1,8","         1,1","         1,7","         0,8","        32,5"
690780358,010780195,"         0,2","         0,7","         1,1","         1,7","         0,8","        32,5"
690780390,010780195,"         0,3","         0,7","         1,1","         1,7","         0,8","        32,5"
690780648,010780195,"         1,7","         0,7","         1,1","         1,7","         0,8","        32,5"
690781810,010780195,          10,"         9,7","         2,2","         4,4","        14,4",           8
690782222,010780195,"         0,5","         0,1","         2,2","         4,4","        14,4",           8
690782834,010780195,"         0,3","         1,2","         1,4","         4,4","        14,4",           8
690793468,010780195,"         1,1","         0,7","         1,4","         4,4","        14,4",           8
690807367,010780195,,"         0,8","         1,4","         4,4","        14,4",           8
710006859,010780195,"         1,4","         2,2","         0,9","         4,4","        14,4",           8
710780263,010780195,           1,"         0,5","         0,8","         0,6","        14,4",           8
940100068,010780195,"         0,4","         0,5","         0,8","         0,6","        14,4",           8
010008407,010780203,"         0,2","         0,5","         0,8","         0,6","        14,4",           8
010780054,010780203,          23,"        10,8","        23,7","         6,6","        16,5","        21,3"
010780062,010780203,"         1,3","         1,1","         2,3","         6,6","        16,5","        21,3"
010780195,010780203,"         7,9",          11,"        10,1","         4,5","         4,9","        21,3"
010780203,010780203,"        31,4","        32,3","        52,8","        39,3","        18,9","         0,6"
380780049,010780203,"         1,5","         2,4","         6,9","        39,3","        18,9","         0,6"
380780197,010780203,"         1,8","         1,7",           3,"        39,3","        18,9","         0,6"
420013492,010780203,"         0,5","         1,7",           3,"        39,3","        18,9","         0,6"
690000880,010780203,"         2,6",          14,"        18,1","        39,3","        18,9","         0,6"
690022959,010780203,"         3,3",          14,"        18,1","        39,3","        18,9","         0,6"
690023239,010780203,"         5,3","         4,2","        18,1","        39,3","        18,9","         0,6"
690023411,010780203,"         2,5","         4,5","         3,7","         8,6","        19,4","         0,6"
690780093,010780203,"         0,8",,"         3,7","         8,6","        19,4","         0,6"
690780226,010780203,"         4,4",,"         3,7","         8,6","        19,4","         0,6"
690780259,010780203,"         1,8",,"         3,7","         8,6","        19,4","         0,6"
690780358,010780203,"         0,9","         1,8","         3,7","         8,6","        19,4","         0,6"
690780366,010780203,"         2,9","         1,8","         3,7","         8,6","        19,4","         0,6"
690780390,010780203,"         1,3",           2,"         1,1","         2,6","         0,7","         0,6"
690780648,010780203,"         1,7",,"         1,1","         2,6","         0,7","         0,6"
690781810,010780203,          19,"        13,8","         9,7","         6,7","        22,2","        21,3"
690782222,010780203,"         0,2","        13,8","         9,7","         6,7","        22,2","        21,3"
690782834,010780203,"         1,5","         2,7","         0,4","         5,5","         0,9","        21,3"
690793468,010780203,"         0,9","         1,2","         1,2","         2,3","         0,9","        21,3"
690805361,010780203,"         1,2","         1,3","         1,2","         2,3","         0,9","        21,3"
690807599,010780203,"         0,3","         1,3","         1,2","         2,3","         0,9","        21,3"
010780294,010780294,,,,,,
020000022,020000022,"        12,1","         2,5",,"         1,2",           6,
020000048,020000022,"         0,6","         2,5",,"         1,2",           6,
020000055,020000022,"         1,4",           1,,"         1,2",           6,
020000063,020000022,"        44,1","        38,2","        31,8","        44,6",           6,
020000253,020000022,"         1,8",           2,"        31,8","        44,6",           6,
020004495,020000022,"         1,2",           2,"        31,8","        44,6",           6,
020010047,020000022,"        15,3","        21,4","        37,5","        20,6",           6,
510000029,020000022,"         1,2","        21,4","        37,5","        20,6",           6,
510000185,020000022,"         0,6","         1,4","        37,5","        20,6",           6,
510000193,020000022,"         1,1","         1,4","        37,5","        20,6",           6,
510000516,020000022,"         1,1","         1,4","        37,5","        20,6",           6,
510012040,020000022,"         0,5","         1,4","        37,5","        20,6",           6,
590000188,020000022,"         0,6","         1,7","        37,5","        20,6",           6,
590006896,020000022,"         2,1","        11,9","        37,5","        20,6",           6,
590052056,020000022,"         1,1","        11,9","        37,5","        20,6",           6,
590780193,020000022,"         1,9","         2,3",,"         2,8",           6,
590781571,020000022,           1,"         2,3",,"         2,8",           6,
590781621,020000022,"         3,4","         2,3",,"         2,8",           6,
590781662,020000022,"         1,2","         2,3",,"         2,8",           6,
590782215,020000022,"         0,8","         2,3",,"         2,8",           6,
590782298,020000022,"         3,7","         2,3",,"         2,8",           6,
590813176,020000022,"         3,7","         4,6","         1,2","         1,2",           6,
800000044,020000022,           3,"         7,6","         2,5",           7,           6,
800000077,020000022,"         0,9","         7,6","         2,5",           7,           6,
920120011,020000022,"         0,2","         7,6","         2,5",           7,           6,
020000048,020000048,"        17,1","         0,4",,,           2,
020000063,020000048,"        14,7","        21,7","        20,3",,           2,
020000253,020000048,           2,"        12,4","        11,6",,           2,
020000261,020000048,"         2,8","         1,9","        11,6",,           2,
020000287,020000048,          44,"        19,3",          19,,           2,
020000360,020000048,"         0,9","         2,4","         2,4",,           2,
020010047,020000048,"         4,8","        12,7","         9,3",,           2,
510000029,020000048,"         1,7","         4,1","         4,8",,           2,
510000185,020000048,"         0,8",           4,"         5,9",,           2,
510000193,020000048,"         2,3",           4,"         5,9",,           2,
510000516,020000048,"         0,7",           1,"         5,2",,           2,
510012040,020000048,           1,           1,"         5,2",,           2,
590000188,020000048,"         1,1",           1,"         5,2",,           2,
600100721,020000048,"         0,7",           1,"         5,2",,           2,
800000044,020000048,"         3,4","         7,4","         5,5",,           2,
020000022,020000055,"         2,5","         7,4","         5,5",,           2,
020000055,020000055,"         8,7","         0,2",,,"         6,4",
020000063,020000055,"        12,2","        20,2","         6,2",,"         6,4",
020004495,020000055,"         8,6","         2,8","         6,2",,"         6,4",
020010047,020000055,"         2,9","         9,9","         6,2",,"         6,4",
590000188,020000055,"         4,1","         9,9","         6,2",,"         6,4",
590006896,020000055,"        11,8","        10,9","        11,9",,"         6,4",
590008041,020000055,"         2,7",           4,"        11,9",,"         6,4",
590780193,020000055,           4,"         4,6",          10,,"         6,4",
590781621,020000055,"         3,5","         4,6",          10,,"         6,4",
590781662,020000055,"        18,9","         4,3","         8,1",,"         6,4",
590781803,020000055,"         2,4",           3,"         8,1",,"         6,4",
590782215,020000055,"         3,3","         4,3","         9,9",,"         6,4",
590782298,020000055,"         7,5","         4,3","         9,9",,"         6,4",
590813176,020000055,"         5,6",           8,"         4,4",,"         6,4",
590813507,020000055,"         2,3","         4,2","         4,4",,"         6,4",
800000044,020000055,"         3,1","         4,2","         4,4",,"         6,4",
020000022,020000063,"         2,8","         1,4","         4,4",,"         6,4",
020000048,020000063,"         2,8","         1,4","         4,4",,"         6,4",
020000063,020000063,"        44,7","        35,3","        59,3","        27,2","        40,3","        54,1"
020000253,020000063,"         0,7","         1,4","         0,9","         2,4","         1,4","        54,1"
020000287,020000063,"         4,3","         6,5","         1,8","        12,2","         6,6","         6,5"
020000360,020000063,"         3,8","         6,5","         1,8","        12,2","         6,6","         6,5"
020010047,020000063,"        16,5","        21,1","        27,6","        26,8","        20,7","        14,4"
510000029,020000063,"         0,8","         1,1","         1,6","        26,8","        20,7","        14,4"
510000185,020000063,"         0,1","         1,3","         4,1","        26,8","        20,7","        14,4"
510000516,020000063,"         1,3","         2,4","         4,1","        26,8","        20,7","        14,4"
590000188,020000063,"         2,1","         2,2","         4,1","        26,8","        20,7","        14,4"
590006896,020000063,"         1,3","         2,2","         4,1","        26,8","        20,7","        14,4"
590052056,020000063,"         0,4","         1,6","         4,1","        26,8","        20,7","        14,4"
590780193,020000063,"         1,5","         1,5","         0,3","         1,9","        20,7","        14,4"
590781605,020000063,"         0,5","         1,5","         0,3","         1,9","        20,7","        14,4"
590781621,020000063,"         0,7","         1,7","         0,3","         1,9","        20,7","        14,4"
